event_name,venue,start_date,start_time,end_time,type,estimate_attendence,source_url,attendance_source_url
“DẤU XƯA VĂN MIẾU – QUỐC TỬ GIÁM QUA NÉT CỌ CỦA CÁC HỌA SĨ PHÁP”,"Tiền Đường, khu Thái Học, Văn Miếu - Quốc Tử Giám",01/08/26,09:00,09:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/%E2%80%9CD%E1%BA%A4U-X%C6%AFA-V%C4%82N-MI%E1%BA%BEU-%E2%80%93-QU%E1%BB%90C-T%E1%BB%AC-GI%C3%81M-QUA-N%C3%89T-C%E1%BB%8C-C%E1%BB%A6A-C%C3%81C-H%E1%BB%8CA-S%C4%A8-PH%C3%81P%E2%80%9D,
PHAO CỨU SINH CONCERT - HƯƠNG TRÀM,Cung Thể Thao Điền Kinh Mỹ Đình,01/08/26,20:00,23:00,concert,10000,https://ticketbox.vn/phao-cuu-sinh-concert-huong-tram-26323,https://vnexpress.net/phao-cuu-sinh-cua-huong-tram-5104230.html
Lễ hội 'Tự hào đặc sản Việt',"hệ thống GO!, Tops Market và Mini Go! trên toàn quốc, khai mạc tại Đại siêu thị GO! Thăng Long, Hà Nội",01/09/26,00:00,23:59,festival,,https://lehoivietnam.com.vn/vi/su-kien/6471-e6471-le-hoi-tu-hao-dac-san-viet-proud-of-vietnamese-specialities-festival,
Triển lãm Dấu ấn vàng son - Những mảnh ghép văn hóa Việt Nam thế kỷ 10,"số 47 Hàng Dầu, Hà Nội",01/09/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/6622-e6622-trien-lam-dau-an-vang-son-nhung-manh-ghep-van-hoa-viet-nam-the-ky-10,
KHAI MẠC TRIỂN LÃM “NGÀN NĂM DI SẢN” TẠI VĂN MIẾU - QUỐC TỬ GIÁM,"Nhà Tiền Đường, khu Thái Học, di tích Văn Miếu – Quốc Tử Giám",01/09/26,16:00,17:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ongoing-events/KHAI-M%E1%BA%A0C-TRI%E1%BB%82N-L%C3%83M-%E2%80%9CNG%C3%80N-N%C4%82M-DI-S%E1%BA%A2N%E2%80%9D-T%E1%BA%A0I-V%C4%82N-MI%E1%BA%BEU-QU%E1%BB%90C-T%E1%BB%AC-GI%C3%81M,
Lễ hội truyền thống đền Kim Liên năm 2026,"Di tích đền Kim Liên, số 148 phố Kim Hoa, phường Văn Miếu - Quốc Tử Giám, thành phố Hà Nội",02/05/26,00:00,23:59,festival,,https://lehoivietnam.com.vn/vi/su-kien/4994-e4994-le-hoi-truyen-thong-di-tich-thang-long-tu-tran-den-kim-lien-nam-2026,
Phiên chợ vùng cao “Sắc màu Lai Châu”,"Làng Văn hóa - Du lịch các dân tộc Việt Nam, Hà Nội",02/05/26,00:00,23:59,festival,,https://lehoivietnam.com.vn/vi/su-kien/5018-e5018-chuoi-hoat-dong-tai-lang-van-hoa-du-lich-cac-dan-toc-viet-nam-diem-nhan-cho-phien-sac-mau-lai-chau,
"Triển lãm ""Trời, non, nước | Allusive Panorama""","Nhà Thái Học, Văn Miếu - Quốc Tử Giám, Hà Nội",02/05/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/4228-e4228-trien-lam-troi-non-nuoc,
Triển lãm mỹ thuật “Giai điệu Thống nhất” và “Việt Nam quê hương tôi”,"tầng 1, tòa nhà 47 Hàng Dầu, Sở Văn hóa và Thể thao Hà Nội, thành phố Hà Nội",02/05/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5142-e5142-trien-lam-my-thuat-giai-dieu-thong-nhat,
Triển lãm ảnh tư liệu “Âm vang ngày mới”,"Khu di sản Hoàng thành Thăng Long, số 19 Hoàng Diệu, Ba Đình, Hà Nội",02/05/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5157-e5157-trien-lam-anh-tu-lieu-am-vang-ngay-moi,
"Triển lãm ""Hẹn ước mùa sau""","tại Nhà Triển lãm Mỹ thuật (16 Ngô Quyền, Hà Nội)",02/06/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5318-e5318-trien-lam-hen-uoc-mua-sau,
"Triển lãm ""Nét họa áo ta""","Văn Miếu - Quốc Tử Giám, Hà Nội",02/06/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5574-e5574-trien-lam-net-hoa-ao-ta,
