event_name,venue,start_date,start_time,end_time,type,estimate_attendence,source_url,attendance_source_url
"Triển lãm “AS ABOVE, SO BELOW | NHƯ TRÊN, NHƯ DƯỚI”","tại Trung tâm Nghệ thuật đương đại Vincom (VCCA), B1-R3 Vincom Mega Mall Royal City, 72A Nguyễn Trãi, phường Thanh Xuân, Hà Nội.",02/06/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5509-e5509-trien-lam-as-above-so-below-nhu-tren-nhu-duoi,
"Triển lãm ""Sĩ tử 3 - Chuyện sĩ tử"" - 950 câu chuyện học tập trong không gian di sản Văn Miếu - Quốc Tử Giám",Văn Miếu - Quốc Tử Giám,02/06/26,08:00,18:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/Exhibition-%22S%C4%A9-T%E1%BB%AD-3-Chuy%E1%BB%87n-S%C4%A9-T%E1%BB%AD%22-950-learning-stories-in-the-heritage-space-of-V%C4%83n-Mi%E1%BA%BFu-Qu%E1%BB%91c-T%E1%BB%AD-Gi%C3%A1m,
LỄ HỘI COSPLAY,khu vui chơi Nhà Chen - Ước Mơ Xanh,02/08/26,00:00,23:59,festival,,https://ticketbox.vn/le-hoi-cosplay-26383,
"""Những chiếc cổng"" - Cuộc đối thoại giữa quá khứ và hiện tại",Văn Miếu - Quốc Tử Giám,02/08/26,09:00,09:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/%22Nh%E1%BB%AFng-chi%E1%BA%BFc-c%E1%BB%95ng%22-Cu%E1%BB%99c-%C4%91%E1%BB%91i-tho%E1%BA%A1i-gi%E1%BB%AFa-qu%C3%A1-kh%E1%BB%A9-v%C3%A0-hi%E1%BB%87n-t%E1%BA%A1i,
KHAI MẠC TRIỂN LÃM “QUỐC TỬ GIÁM TRONG NGHỆ THUẬT” TẠI VĂN MIẾU - QUỐC TỬ GIÁM,Văn Miếu - Quốc Tử Giám,02/08/26,09:00,17:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/KHAI-M%E1%BA%A0C-TRI%E1%BB%82N-L%C3%83M-%E2%80%9CQU%E1%BB%90C-T%E1%BB%AC-GI%C3%81M-TRONG-NGH%E1%BB%86-THU%E1%BA%ACT%E2%80%9D-T%E1%BA%A0I-V%C4%82N-MI%E1%BA%BEU-QU%E1%BB%90C-T%E1%BB%AC-GI%C3%81M,
VĂN MIẾU - QUỐC TỬ GIÁM NHỮNG NĂM 1975 QUA NÉT CỌ CỦA HỌA SĨ TRỊNH HỮU NGỌC,Văn Miếu - Quốc Tử Giám,02/08/26,09:00,17:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/V%C4%82N-MI%E1%BA%BEU-QU%E1%BB%90C-T%E1%BB%AC-GI%C3%81M-NH%E1%BB%AENG-N%C4%82M-1975-QUA-N%C3%89T-C%E1%BB%8C-C%E1%BB%A6A-H%E1%BB%8CA-S%C4%A8-TR%E1%BB%8ANH-H%E1%BB%AEU-NG%E1%BB%8CC,
VĂN MIẾU – QUỐC TỬ GIÁM QUA NÉT VẼ CỦA HAI  HỌA SĨ QUỐC TẾ,,02/08/26,09:00,17:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/V%C4%82N-MI%E1%BA%BEU-%E2%80%93-QU%E1%BB%90C-T%E1%BB%AC-GI%C3%81M-QUA-N%C3%89T-V%E1%BA%BC-C%E1%BB%A6A-HAI-H%E1%BB%8CA-S%C4%A8-QU%E1%BB%90C-T%E1%BA%BE,
“DẤU XƯA VĂN MIẾU – QUỐC TỬ GIÁM QUA NÉT CỌ CỦA CÁC HỌA SĨ PHÁP”,"Tiền Đường, khu Thái Học, Văn Miếu - Quốc Tử Giám",02/08/26,09:00,09:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/%E2%80%9CD%E1%BA%A4U-X%C6%AFA-V%C4%82N-MI%E1%BA%BEU-%E2%80%93-QU%E1%BB%90C-T%E1%BB%AC-GI%C3%81M-QUA-N%C3%89T-C%E1%BB%8C-C%E1%BB%A6A-C%C3%81C-H%E1%BB%8CA-S%C4%A8-PH%C3%81P%E2%80%9D,
"LIVESHOW SECRET GARDEN - THE GATE: Quốc Thiên, Lân Nhã, Phương Linh",NHÀ HÁT HỒ GƯƠM,02/08/26,20:00,22:00,concert,,https://ticketbox.vn/liveshow-secret-garden-the-gate-quoc-thien-lan-nha-phuong-linh-26070,
Lễ hội 'Tự hào đặc sản Việt',"hệ thống GO!, Tops Market và Mini Go! trên toàn quốc, khai mạc tại Đại siêu thị GO! Thăng Long, Hà Nội",02/09/26,00:00,23:59,festival,,https://lehoivietnam.com.vn/vi/su-kien/6471-e6471-le-hoi-tu-hao-dac-san-viet-proud-of-vietnamese-specialities-festival,
Triển lãm Dấu ấn vàng son - Những mảnh ghép văn hóa Việt Nam thế kỷ 10,"số 47 Hàng Dầu, Hà Nội",02/09/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/6622-e6622-trien-lam-dau-an-vang-son-nhung-manh-ghep-van-hoa-viet-nam-the-ky-10,
KHAI MẠC TRIỂN LÃM “NGÀN NĂM DI SẢN” TẠI VĂN MIẾU - QUỐC TỬ GIÁM,"Nhà Tiền Đường, khu Thái Học, di tích Văn Miếu – Quốc Tử Giám",02/09/26,16:00,17:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ongoing-events/KHAI-M%E1%BA%A0C-TRI%E1%BB%82N-L%C3%83M-%E2%80%9CNG%C3%80N-N%C4%82M-DI-S%E1%BA%A2N%E2%80%9D-T%E1%BA%A0I-V%C4%82N-MI%E1%BA%BEU-QU%E1%BB%90C-T%E1%BB%AC-GI%C3%81M,
Phiên chợ vùng cao “Sắc màu Lai Châu”,"Làng Văn hóa - Du lịch các dân tộc Việt Nam, Hà Nội",03/05/26,00:00,23:59,festival,,https://lehoivietnam.com.vn/vi/su-kien/5018-e5018-chuoi-hoat-dong-tai-lang-van-hoa-du-lich-cac-dan-toc-viet-nam-diem-nhan-cho-phien-sac-mau-lai-chau,
"Triển lãm ""Trời, non, nước | Allusive Panorama""","Nhà Thái Học, Văn Miếu - Quốc Tử Giám, Hà Nội",03/05/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/4228-e4228-trien-lam-troi-non-nuoc,
Triển lãm mỹ thuật “Giai điệu Thống nhất” và “Việt Nam quê hương tôi”,"tầng 1, tòa nhà 47 Hàng Dầu, Sở Văn hóa và Thể thao Hà Nội, thành phố Hà Nội",03/05/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5142-e5142-trien-lam-my-thuat-giai-dieu-thong-nhat,
Triển lãm ảnh tư liệu “Âm vang ngày mới”,"Khu di sản Hoàng thành Thăng Long, số 19 Hoàng Diệu, Ba Đình, Hà Nội",03/05/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5157-e5157-trien-lam-anh-tu-lieu-am-vang-ngay-moi,
Thể Công – Viettel vs Ninh Bình,SVĐ Hàng Đẫy,03/05/26,19:15,21:15,football,7000,https://vpf.vn/match/the-cong-viettel-vs-ninh-binh/,
"Triển lãm ""Hẹn ước mùa sau""","tại Nhà Triển lãm Mỹ thuật (16 Ngô Quyền, Hà Nội)",03/06/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5318-e5318-trien-lam-hen-uoc-mua-sau,
"Triển lãm “AS ABOVE, SO BELOW | NHƯ TRÊN, NHƯ DƯỚI”","tại Trung tâm Nghệ thuật đương đại Vincom (VCCA), B1-R3 Vincom Mega Mall Royal City, 72A Nguyễn Trãi, phường Thanh Xuân, Hà Nội.",03/06/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5509-e5509-trien-lam-as-above-so-below-nhu-tren-nhu-duoi,
"Triển lãm ""Sĩ tử 3 - Chuyện sĩ tử"" - 950 câu chuyện học tập trong không gian di sản Văn Miếu - Quốc Tử Giám",Văn Miếu - Quốc Tử Giám,03/06/26,08:00,18:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/Exhibition-%22S%C4%A9-T%E1%BB%AD-3-Chuy%E1%BB%87n-S%C4%A9-T%E1%BB%AD%22-950-learning-stories-in-the-heritage-space-of-V%C4%83n-Mi%E1%BA%BFu-Qu%E1%BB%91c-T%E1%BB%AD-Gi%C3%A1m,
Triển lãm Quốc Tử Giám Thăng Long với truyền thống hiếu học Hưng Yên tại Bảo tàng Hưng Yên,Bảo tàng Hưng Yên,03/07/26,08:00,17:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/Exhibition-of-Th%C4%83ng-Long-Imperial-Academy-with-H%C6%B0ng-Y%C3%AAn's-Tradition-of-Love-for-Learning-at-H%C6%B0ng-Y%C3%AAn-Museum,
LỚP HỌC XƯA – NƠI NHỮNG NÉT CHỮ KỂ CHUYỆN VỀ ĐẠO HỌC,Văn Miếu - Quốc Tử Giám,03/08/26,08:00,12:00,workshop,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/L%E1%BB%9AP-H%E1%BB%8CC-X%C6%AFA-%E2%80%93-N%C6%A0I-NH%E1%BB%AENG-N%C3%89T-CH%E1%BB%AE-K%E1%BB%82-CHUY%E1%BB%86N-V%E1%BB%80-%C4%90%E1%BA%A0O-H%E1%BB%8CC,
"""Những chiếc cổng"" - Cuộc đối thoại giữa quá khứ và hiện tại",Văn Miếu - Quốc Tử Giám,03/08/26,09:00,09:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/%22Nh%E1%BB%AFng-chi%E1%BA%BFc-c%E1%BB%95ng%22-Cu%E1%BB%99c-%C4%91%E1%BB%91i-tho%E1%BA%A1i-gi%E1%BB%AFa-qu%C3%A1-kh%E1%BB%A9-v%C3%A0-hi%E1%BB%87n-t%E1%BA%A1i,
"HỌC SINH TRUNG TÂM HY VỌNG TỈNH LẠNG SƠN TRẢI NGHIỆM CHƯƠNG TRÌNH ""ĐI TÌM LINH VẬT TRÊN KIẾN TRÚC CỔ VĂN MIẾU""",Văn Miếu - Quốc Tử Giám,03/08/26,09:00,09:00,workshop,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/H%E1%BB%8CC-SINH-TRUNG-T%C3%82M-HY-V%E1%BB%8CNG-T%E1%BB%88NH-L%E1%BA%A0NG-S%C6%A0N-TR%E1%BA%A2I-NGHI%E1%BB%86M-CH%C6%AF%C6%A0NG-TR%C3%8CNH-%22%C4%90I-T%C3%8CM-LINH-V%E1%BA%ACT-TR%C3%8AN-KI%E1%BA%BEN-TR%C3%9AC-C%E1%BB%94-V%C4%82N-MI%E1%BA%BEU%22,
KHAI MẠC TRIỂN LÃM “QUỐC TỬ GIÁM TRONG NGHỆ THUẬT” TẠI VĂN MIẾU - QUỐC TỬ GIÁM,Văn Miếu - Quốc Tử Giám,03/08/26,09:00,17:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/KHAI-M%E1%BA%A0C-TRI%E1%BB%82N-L%C3%83M-%E2%80%9CQU%E1%BB%90C-T%E1%BB%AC-GI%C3%81M-TRONG-NGH%E1%BB%86-THU%E1%BA%ACT%E2%80%9D-T%E1%BA%A0I-V%C4%82N-MI%E1%BA%BEU-QU%E1%BB%90C-T%E1%BB%AC-GI%C3%81M,
VĂN MIẾU - QUỐC TỬ GIÁM NHỮNG NĂM 1975 QUA NÉT CỌ CỦA HỌA SĨ TRỊNH HỮU NGỌC,Văn Miếu - Quốc Tử Giám,03/08/26,09:00,17:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/V%C4%82N-MI%E1%BA%BEU-QU%E1%BB%90C-T%E1%BB%AC-GI%C3%81M-NH%E1%BB%AENG-N%C4%82M-1975-QUA-N%C3%89T-C%E1%BB%8C-C%E1%BB%A6A-H%E1%BB%8CA-S%C4%A8-TR%E1%BB%8ANH-H%E1%BB%AEU-NG%E1%BB%8CC,
VĂN MIẾU – QUỐC TỬ GIÁM QUA NÉT VẼ CỦA HAI  HỌA SĨ QUỐC TẾ,,03/08/26,09:00,17:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/V%C4%82N-MI%E1%BA%BEU-%E2%80%93-QU%E1%BB%90C-T%E1%BB%AC-GI%C3%81M-QUA-N%C3%89T-V%E1%BA%BC-C%E1%BB%A6A-HAI-H%E1%BB%8CA-S%C4%A8-QU%E1%BB%90C-T%E1%BA%BE,
“DẤU XƯA VĂN MIẾU – QUỐC TỬ GIÁM QUA NÉT CỌ CỦA CÁC HỌA SĨ PHÁP”,"Tiền Đường, khu Thái Học, Văn Miếu - Quốc Tử Giám",03/08/26,09:00,09:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/%E2%80%9CD%E1%BA%A4U-X%C6%AFA-V%C4%82N-MI%E1%BA%BEU-%E2%80%93-QU%E1%BB%90C-T%E1%BB%AC-GI%C3%81M-QUA-N%C3%89T-C%E1%BB%8C-C%E1%BB%A6A-C%C3%81C-H%E1%BB%8CA-S%C4%A8-PH%C3%81P%E2%80%9D,
Lễ hội 'Tự hào đặc sản Việt',"hệ thống GO!, Tops Market và Mini Go! trên toàn quốc, khai mạc tại Đại siêu thị GO! Thăng Long, Hà Nội",03/09/26,00:00,23:59,festival,,https://lehoivietnam.com.vn/vi/su-kien/6471-e6471-le-hoi-tu-hao-dac-san-viet-proud-of-vietnamese-specialities-festival,
KHAI MẠC TRIỂN LÃM “NGÀN NĂM DI SẢN” TẠI VĂN MIẾU - QUỐC TỬ GIÁM,"Nhà Tiền Đường, khu Thái Học, di tích Văn Miếu – Quốc Tử Giám",03/09/26,16:00,17:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ongoing-events/KHAI-M%E1%BA%A0C-TRI%E1%BB%82N-L%C3%83M-%E2%80%9CNG%C3%80N-N%C4%82M-DI-S%E1%BA%A2N%E2%80%9D-T%E1%BA%A0I-V%C4%82N-MI%E1%BA%BEU-QU%E1%BB%90C-T%E1%BB%AC-GI%C3%81M,
"Triển lãm ""Trời, non, nước | Allusive Panorama""","Nhà Thái Học, Văn Miếu - Quốc Tử Giám, Hà Nội",04/05/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/4228-e4228-trien-lam-troi-non-nuoc,
Triển lãm mỹ thuật “Giai điệu Thống nhất” và “Việt Nam quê hương tôi”,"tầng 1, tòa nhà 47 Hàng Dầu, Sở Văn hóa và Thể thao Hà Nội, thành phố Hà Nội",04/05/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5142-e5142-trien-lam-my-thuat-giai-dieu-thong-nhat,
Triển lãm ảnh tư liệu “Âm vang ngày mới”,"Khu di sản Hoàng thành Thăng Long, số 19 Hoàng Diệu, Ba Đình, Hà Nội",04/05/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5157-e5157-trien-lam-anh-tu-lieu-am-vang-ngay-moi,
"Triển lãm ""Hẹn ước mùa sau""","tại Nhà Triển lãm Mỹ thuật (16 Ngô Quyền, Hà Nội)",04/06/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5318-e5318-trien-lam-hen-uoc-mua-sau,
"Triển lãm “AS ABOVE, SO BELOW | NHƯ TRÊN, NHƯ DƯỚI”","tại Trung tâm Nghệ thuật đương đại Vincom (VCCA), B1-R3 Vincom Mega Mall Royal City, 72A Nguyễn Trãi, phường Thanh Xuân, Hà Nội.",04/06/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5509-e5509-trien-lam-as-above-so-below-nhu-tren-nhu-duoi,
"Triển lãm ""Sĩ tử 3 - Chuyện sĩ tử"" - 950 câu chuyện học tập trong không gian di sản Văn Miếu - Quốc Tử Giám",Văn Miếu - Quốc Tử Giám,04/06/26,08:00,18:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/Exhibition-%22S%C4%A9-T%E1%BB%AD-3-Chuy%E1%BB%87n-S%C4%A9-T%E1%BB%AD%22-950-learning-stories-in-the-heritage-space-of-V%C4%83n-Mi%E1%BA%BFu-Qu%E1%BB%91c-T%E1%BB%AD-Gi%C3%A1m,
Chillpark: Liveshow Thanh Xuân Của Tôi,Nhà Hát Âu Cơ,04/07/26,19:30,22:00,concert,,https://ticketbox.vn/live-show-thanh-xuan-cua-toi-26210,
"""Những chiếc cổng"" - Cuộc đối thoại giữa quá khứ và hiện tại",Văn Miếu - Quốc Tử Giám,04/08/26,09:00,09:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/%22Nh%E1%BB%AFng-chi%E1%BA%BFc-c%E1%BB%95ng%22-Cu%E1%BB%99c-%C4%91%E1%BB%91i-tho%E1%BA%A1i-gi%E1%BB%AFa-qu%C3%A1-kh%E1%BB%A9-v%C3%A0-hi%E1%BB%87n-t%E1%BA%A1i,
